update_time,name,first_name,third_line,bus_type,time,first_line,cost,third_name,second_name,second_line,company
最后更新：2018-12-14,深圳624路公交车路线,深圳624路公交车路线(石龙公交场站—坂田中浩园东苑总站),,常规线路,运行时间：石龙公交场站06:00-22:00 |坂田中浩园东苑总站06:00-22:00,"1:石龙公交场站
2:新百丽公交总站
3:新百丽
4:鹏城变电站
5:华荣工业区
6:大浪行政中心
7:嘉安达科技园
8:雅迪宝电子厂
9:万景公司
10:上横朗村
11:玉田新村
12:中建工业区
13:大浪劳动者广场
14:大浪商业中心
15:龙华妇幼中心
16:羊台山
17:谭罗村
18:大浪石观工业区
19:龙华村
20:龙华敬老院
21:牛地埔
22:金龙华广场
23:龙华天虹商场
24:人民医院龙华分院
25:城市明珠
",票价信息：冷巴2元,,深圳624路公交车路线(坂田中浩园东苑总站—石龙公交场站),"26:龙华汽车站
27:清湖市场
28:清湖老村
29:富士康北门
30:金荣达工业园
31:岗头市场
32:岗头村委
33:坂田交警中队
34:象角塘
35:坂田中浩园东苑总站
",深圳市西部公共汽车有限公司
最后更新：2018-12-14,深圳615路公交车路线,深圳615路公交车路线(新安67区安顺达场站—锦程文丰公交场站),,常规线路,运行时间：新安67区安顺达场站06:00-21:30 |锦程文丰公交场站06:00-21:30,"1:新安67区安顺达场站
2:留仙一路
3:新福市场(2)
4:新安职业所
5:宝安海关大厦
6:宝安国检
7:宝安党校
8:宝安人民医院
9:新安公园
10:灵芝园新村
11:宝安税务局
12:公园路西一巷
13:诺铂广场
14:文汇中学
15:安华工业区
16:流塘旧村
17:西乡径贝村
18:河东
19:西乡步行街
20:同仁妇科医院
21:西乡盐田
22:昆仑泌尿外科医院
23:西乡客运站
24:银田工业区
25:华万工业园
",票价信息：冷巴上车2元，分段收费，全程7元,,深圳615路公交车路线(锦程文丰公交场站—新安67区安顺达场站),"26:联升购物广场
27:固戍地铁站
28:西乡安居家园
29:西乡奋达科技
30:华胜实验学校
31:空港油库
32:机场邮件处理中心
33:后瑞地铁站
34:后瑞村
35:兴围
36:航空物流园
37:福围
38:永福苑
39:怀德新村
40:福永海鲜市场
41:福永交管所
42:怀德村委
43:万福广场
44:汉永酒店
45:福永桥底
46:白石厦村
47:福永卫生监督所
48:凤凰花苑
49:凤凰天桥
50:福永医院凤凰分院
",深圳市西部公共汽车有限公司
最后更新：2018-12-14,深圳613路公交车路线,深圳613路公交车路线(金威啤酒厂—西乡恒生医院),,常规线路,运行时间：金威啤酒厂06:30-22:15 西乡恒生医院06:30-22:15,"1:金威啤酒厂
2:兴东地铁站
3:新福市场(1)
4:新安职业所
5:宝安海关大厦
6:宝安国检
7:宝安电视台
8:新安湖
9:汉宝大厦
10:创业天虹南
11:怡景新村
12:海滨市场
13:开屏花园
14:西乡码头
15:福中福
16:海滨新村
17:渔业社区
18:坪洲地铁站
19:永丰路口
20:西乡地铁站
21:海湾中学东
22:西乡体育中心
23:恒生医院
24:西乡恒生医院
",票价信息：冷巴2元,,深圳613路公交车路线(西乡恒生医院—金威啤酒厂),"1:西乡恒生医院
2:恒生医院
3:西乡体育中心
4:海湾中学东
5:西乡地铁站
6:永丰路口
7:坪洲地铁站
8:渔业社区
9:海滨新村
10:福中福
11:西乡径贝村
12:开屏花园
13:海滨市场
14:怡景新村
15:海滨广场
16:汉宝大厦
17:新安湖
18:宝安电视台
19:灵芝园
20:洪浪北地铁站
21:新安税务所
22:新福市场(1)
23:兴东地铁站
24:金威啤酒厂
",深圳市西部公共汽车有限公司
最后更新：2018-12-14,深圳612路公交车路线,深圳612路公交车路线(中海锦城花园公交总站—民乐地铁站),,常规线路,运行时间：中海锦城花园公交总站06:00-21:30 |民乐地铁站06:00-22:30,"1:中海锦城花园公交总站
2:简上中路
3:简上社区公园
4:曼海宁花园
5:曼海宁花园北
6:龙胜地铁站
7:国泰家私城
8:赤岭头村
9:元芬村
10:天诚家私厂
11:光浩工业园
12:鹊山路口
13:龙华村
14:龙华敬老院
15:牛地埔
16:龙华街道办
17:金侨花园
18:龙华人民医院
19:龙华文化广场
20:共和新村
21:瓦窑排
22:龙华富士康
23:富士康南二门
24:水斗富豪新村
25:水斗村
",票价信息：冷巴2元,,深圳612路公交车路线(民乐地铁站—中海锦城花园公交总站),"26:利金城工业园
27:里石排
28:五和路口
29:五和地铁站
30:四季花城(1)
31:光雅园路口
32:坂田石化新村
33:南坑村
34:星光之约(1)
35:星河WORLD
36:万家灯火
37:滢水山庄(2)
38:民乐地铁站
",深圳市西部公共汽车有限公司
最后更新：2018-12-14,深圳610路公交车路线,深圳610路公交车路线(大宝北公交场站—宝安桃花源总站),,常规线路,运行时间：大宝北公交场站06:30-22:00 |宝安桃花源06:30-22:00,"1:大宝北公交场站
2:东方明工业城
3:大家好广场
4:上川村
5:普威广场
6:宝安中医院
7:宝民社区
8:汉宝大厦
9:甲岸村
10:建行宝安支行
11:石鸿花园
12:宝安市场监管分局
13:海滨中学
14:创业天虹南
15:海滨广场
16:翻身小学
17:开屏花园
18:河东
19:西乡步行街
20:同仁妇科医院
21:大益广场
22:宝安文具批发市场
23:宝安客运中心
24:凤凰岗村
25:凤岗小学
",票价信息：冷巴2元,,深圳610路公交车路线(宝安桃花源总站—大宝北公交场站),"26:铁岗村
27:铁岗公园
28:易瑞生物
29:铁岗水库西门
30:宝安桃花源总站
",深圳市西部公共汽车有限公司
最后更新：2018-12-14,深圳605路公交车路线,深圳605路公交车路线(宝城三区总站—新安67区安顺达场站),,常规线路,运行时间：宝城三区总站06:30-22:30 |新安67区安顺达场站06:30-22:30,"1:宝城三区总站
2:沁园公园
3:宝安法院
4:三区金融街
5:新安影剧院
6:宝安人民医院
7:宝安党校
8:宝安国检
9:宝安灵芝小学
10:新安交警中队
11:上华村
12:上合市场(1)
13:上合小学
14:上合新村
15:福安楼
16:宝安新村
17:天骄世家
18:御龙居
19:宝安客运中心南
20:宝安客运中心
21:凤凰岗村
22:凤岗小学
23:铁岗村
24:铁岗公园
25:尖岗山大道中
",票价信息：冷巴2元,,深圳605路公交车路线(新安67区安顺达场站—宝城三区总站),"26:九号公馆二期
27:九号公馆一期
28:九号公馆三期
29:曦城商业中心
30:曦城三号门
31:晶英达公司
32:兴东地铁站
33:金威啤酒厂
34:留仙三路
35:长丰工业园
36:庭威工业园
37:留仙一路
38:新安67区安顺达场站
",深圳市西部公共汽车有限公司
最后更新：2018-12-14,深圳395路公交车路线,深圳395路公交车路线(九围村总站—福田高铁站),,常规线路,运行时间：九围村总站06:00-21:00 |福田高铁站07:00-22:30,"1:九围村总站
2:九围村委
3:九围村
4:富源教育城
5:西乡富源工业城
6:恒丰工业城
7:鹤洲桥底
8:宝安桃源居
9:西乡交管所(1)
10:平峦山公园
11:宝田二路路口
12:西乡城管办
13:宝安客运中心
14:丽景城
15:宝润装饰城
16:流塘小学
17:流塘市场
18:流塘旧村
19:安华工业区
20:诺铂广场
21:公园路西一巷
22:宝安税务局
23:新安湖
24:甲岸村
25:建行宝安支行
",票价信息：冷巴2.5元,,深圳395路公交车路线(福田高铁站—九围村总站),"26:深南北环立交(1)
27:南头(2)
28:深大北门(1)
29:大冲
30:世界之窗(2)
31:康佳集团
32:深圳人才园(2)
33:深南香蜜立交
34:特区报社(2)
35:投资大厦
36:福田高铁站
",深圳市西部公共汽车有限公司
最后更新：2018-12-14,深圳392路公交车路线,深圳392路公交车路线(长凤路总站—世界之窗地铁公交接驳站),,常规线路,运行时间：长凤路总站06:00-21:40 |世界之窗地铁接驳站07:00-22:50,"1:长凤路总站
2:东长长凤路口
3:海纳中心
4:科士达
5:长圳人行天桥
6:玉塘派出所
7:玉律
8:石岩湖路口
9:北大方正
10:石岩消防中队
11:石岩径贝村
12:石岩东原天桥
13:石岩汽车站
14:石岩成人学校
15:河滨花园
16:罗租社区
17:石岩计生中心
18:山城工业区
19:台湾工业区
20:一电科技(1)
21:创维天桥
22:应人石路口
23:阳光工业区
24:南岗工业区
25:松白丽康路口
",票价信息：冷巴2元,,深圳392路公交车路线(世界之窗地铁公交接驳站—长凤路总站),"26:白芒村
27:荔枝世界
28:报恩福地
29:官龙村
30:深职院
31:九祥岭(2)
32:西丽法庭(1)
33:西丽社区(1)
34:茶光(2)
35:茶光(1)
36:松坪山
37:英伦名苑
38:白石洲(3)
39:世界之窗地铁公交接驳站
",深圳市西部公共汽车有限公司
最后更新：2018-12-14,深圳393路公交车路线,深圳393路公交车路线(万科五园公交总站—新闻大厦),,常规线路,运行时间：万科第五园公交总站06:20-21:45 |新闻大厦07:00-22:20,"1:万科五园公交总站
2:光雅园路口
3:坂田石化新村
4:南坑村
5:星光之约(2)
6:星河WORLD
7:万家灯火
8:滢水山庄(2)
9:民乐地铁站(4)
10:福田党校
11:笔架山水厂
12:银湖汽车站(2)
13:体育馆东
14:计生中心
15:红岭地铁站
16:荔枝公园(1)
17:新闻大厦
",票价信息：冷巴2.5元,,深圳393路公交车路线(新闻大厦—万科五园公交总站),"1:新闻大厦
2:市总工会
3:荔园小学
4:计生中心
5:体育馆东
6:银湖汽车站(2)
7:市救助站
8:笔架山水厂
9:福田党校
10:民乐地铁站(3)
11:滢水山庄(2)
12:万家灯火
13:星河WORLD
14:星光之约(2)
15:南坑村
16:雅园路口
17:坂田手造文化街
18:万科五园公交总站
",深圳市西部公共汽车有限公司
最后更新：2018-12-14,深圳391路公交车路线,深圳391路公交车路线(宝利工业区—华强路地铁公交接驳站),,常规线路,运行时间：宝利工业区06:15-21:00 |华强路地铁公交接驳站07:20-22:20,"1:宝利工业区
2:天安花园
3:坂田路口西
4:坂田市场
5:五和路口
6:五和地铁站
7:四季花城(1)
8:坂田民营市场
9:光雅园路口
10:坂田石化新村
11:南坑村
12:星光之约(2)
13:星河WORLD
14:万家灯火
15:滢水山庄(1)
16:民乐地铁站(5)
17:福田党校
18:中级法院
19:莲花中学
20:武警支队
21:福华新村
22:福田中学
23:上海宾馆西
24:华强路地铁公交接驳站
",票价信息：冷巴3元,,深圳391路公交车路线(华强路地铁公交接驳站—宝利工业区),"1:华强路地铁公交接驳站
2:中医院
3:中大八院
4:公汽大楼
5:福华新村
6:彩福大厦
7:武警支队
8:莲花中学
9:中级法院
10:福田党校
11:民乐地铁站(3)
12:滢水山庄(1)
13:万家灯火
14:星河WORLD
15:星光之约(2)
16:南坑村
17:坂田石化新村
18:光雅园路口
19:坂田民营市场
20:四季花城
21:五和地铁站
22:五和路口
23:坂田市场
24:坂田路口西
25:天安花园
",深圳市东部公共交通有限公司
最后更新：2018-12-14,深圳603路公交车路线,深圳603路公交车路线(宝城三区总站—黄麻布总站),,常规线路,运行时间：宝城三区总站06:30-22:30 |黄麻布总站06:30-22:30,"1:宝城三区总站
2:宝安法院北
3:三区金融街
4:建行宝安支行
5:甲岸村
6:汉宝大厦
7:宝民社区
8:宝安中医院
9:诺铂广场
10:文汇中学
11:安华工业区
12:流塘旧村
13:流塘市场
14:流塘小学
15:嘉华花园
16:富盈门
17:丽景城
18:宝安客运中心
19:西乡城管办
20:平峦山公园
21:西乡交管所
22:宝安桃源居
23:鹤洲桥底
24:恒丰工业城
25:西乡富源工业城
",票价信息：冷巴2元,,深圳603路公交车路线(黄麻布总站—宝城三区总站),"26:富源教育城
27:九围村
28:九围村委
29:康桥书院
30:簕竹角村
31:黄麻布总站
",深圳市西部公共汽车有限公司
最后更新：2018-12-14,深圳398路公交车路线,深圳398路公交车路线(仙田总站—购物公园地铁公交接驳站),,常规线路,运行时间：仙田总站05:20-20:00 |购物公园总站06:00-22:10,"1:仙田总站
2:陂头肚村
3:岸上林居
4:回龙埔公园
5:华业玫瑰郡
6:龙岗汽车总站
7:欧景城
8:愉园新村
9:龙岗妇儿中心
10:龙岗海关大厦
11:和兴花园
12:龙岗党校
13:龙岗天安数码城
14:龙平西路口
15:东平兴科技园
16:龙平盐龙立交
17:大运城邦
18:官井头村
19:嘉辉天桥
20:南岸村
21:凤岗汽车站
22:宏盈工业区
23:大水坑收费站
24:爱文学校
25:大草埔社区
",票价信息：冷巴上车2元，分段收费，全程9元,,深圳398路公交车路线(购物公园地铁公交接驳站—仙田总站),"26:平湖广场
27:平湖广场西
28:平湖派出所
29:平湖中心小学
30:富伟厂
31:富民路口
32:华南城交易中心
33:上木古村
34:新木盛低碳产业园
35:华美嘉配送中心
36:友信食品城
37:金积嘉科技园
38:左右家私
39:宝福珠宝园
40:李朗国际珠宝园
41:第三人民医院
42:联创科技园
43:布吉交警中队
44:尚峰花园
45:布澜路口
46:桂芳园
47:大芬地铁站(2)
48:木棉湾地铁站(1)
49:龙珠花园(2)
50:深圳东站(1)
",深圳市东部公共交通有限公司
