time,company,update_time,cost,first_name,first_line,second_line,name,second_name,bus_type
运行时间：坑梓市场07:00-08:20|罗湖人才大市场18:00-19:20,深圳市东部公共交通有限公司,最后更新：2018-12-14,票价信息：冷巴10元,深圳高快巴士15公交车路线(坑梓市场—人才大市场),"1:坑梓市场
2:坪山区委区政府
3:坪山围
4:东方威尼斯
5:横岗地铁站
6:洪湖公园(1)
7:人才大市场
","1:人才大市场
2:洪湖公园(1)
3:横岗地铁站
4:坪山城市候机楼
5:坪山围
6:坪山区委区政府
7:坑梓市场
",深圳高快巴士15公交车路线,深圳高快巴士15公交车路线(人才大市场—坑梓市场),高峰专线
运行时间：水尾07:00-08:00 |园岭地铁站17:50-18:30,深圳市西部公共汽车有限公司,最后更新：2018-12-14,票价信息：冷巴上车2元，分段收费，全程3元,深圳高峰专线13公交车路线(水尾—园岭地铁站),"1:水尾
2:东边(2)
3:民康路口
4:横岭二区
5:横岭
6:惠鑫公寓(2)
7:民乐地铁站(4)
8:笔架山水厂
9:银湖汽车站(1)
10:泥岗村(2)
11:八卦岭社康中心
12:友谊医院
13:市检察院(2)
14:园岭地铁站
","1:园岭地铁站
2:市检察院(2)
3:友谊医院
4:八卦岭社康中心
5:平安大厦(2)
6:银湖汽车站(1)
7:市救助站
8:笔架山水厂
9:民乐地铁站(2)
10:惠鑫公寓(2)
11:横岭
12:横岭二区
13:民康路口
14:东边
15:水尾
",深圳高峰专线13公交车路线,深圳高峰专线13公交车路线(园岭地铁站—水尾),高峰专线
运行时间：大鹏汽车站05:55 19:15 20:15 21:15 |黄贝岭地铁站07:15 20:35 21:35 22:35,深圳市东部公共交通有限公司,最后更新：2018-12-14,票价信息：冷巴3元,深圳高快巴士13公交车路线(大鹏汽车站—黄贝岭地铁站(1)),"1:大鹏汽车站
2:大鹏新区管委会(1)
3:葵涌中心
4:土洋派出所
5:莲塘
6:罗湖体育馆
7:黄贝岭地铁站(1)
","1:黄贝岭地铁站(1)
2:罗湖体育馆
3:莲塘
4:土洋派出所
5:葵涌中心
6:大鹏新区管委会(1)
7:大鹏汽车站
",深圳高快巴士13公交车路线,深圳高快巴士13公交车路线(黄贝岭地铁站(1)—大鹏汽车站),高峰专线
运行时间：东环一路中06:40 06:50 07:00 07:10 07:18 |海岸城17:30 17:42 17:55 18:07 18:20,深圳市西部公共汽车有限公司,最后更新：2018-12-14,票价信息：冷巴3元,深圳高峰专线12公交车路线(东环一路中—海岸城),"1:东环一路中
2:集瑞二区
3:明珠商务大厦
4:风和日丽
5:民治二小
6:金地梅陇镇
7:世纪春城
8:民兴路口
9:东泉新村
10:樟坑
11:潜龙花园
12:惠鑫公寓(1)
13:民乐地铁站(3)
14:翠海花园(1)
15:鸿新花园(1)
16:警校
17:园博园西
18:世界之窗(1)
19:白石洲(2)
20:大冲
21:科技园(1)
22:深大北门(1)
23:南山文体中心
24:南航公司
25:中油大厦
","26:亿利达大厦
27:海岸城
",深圳高峰专线12公交车路线,深圳高峰专线12公交车路线(海岸城—东环一路中),高峰专线
运行时间：草埔地铁站总站07:30-08:30 |科技园公交总站17:40-19:00,深圳巴士集团股份有限公司,最后更新：2018-12-14,票价信息：冷巴2.5元,深圳高峰专线11公交车路线(草埔地铁站总站—科技园公交总站),"1:草埔地铁站总站
2:草埔地铁站(7)
3:独树村
4:泥岗桥
5:红岗花园
6:宝安北路口
7:泥岗村(1)
8:深中泥岗分校
9:银湖汽车站(1)
10:市救助站
11:笔架山水厂
12:华茂苑
13:北环中学
14:广中医深圳医院
15:北环香梅北天桥
16:清华信息港
17:科苑立交南
18:科苑北
19:深南科苑立交北
20:高科技中心
21:中兴通讯
22:科技园公交总站
","1:科技园公交总站
2:中兴通讯
3:高科技中心
4:深南科苑立交北
5:科苑北
6:清华信息港
7:北环香梅北天桥
8:深圳石油大厦
9:广中医深圳医院
10:北环中学
11:彩田村北
12:银湖汽车站(1)
13:泥岗村(1)
14:宝安北路口(2)
15:红岗花园
16:泥岗桥
17:独树村(2)
18:草埔地铁站
19:荣超花园(4)
20:草埔地铁站总站
",深圳高峰专线11公交车路线,深圳高峰专线11公交车路线(科技园公交总站—草埔地铁站总站),高峰专线
运行时间：月亮湾花园07:30-08:30 |科技园公交总站18:00-19:00,深圳巴士集团股份有限公司,最后更新：2018-12-14,票价信息：冷巴2元,深圳高峰专线10公交车路线(月亮湾花园—科技园公交总站),"1:月亮湾花园
2:前海兴海路口
3:南山花园
4:深大附中
5:青青世界
6:前海沿湖路口
7:太子山庄
8:南山党校
9:城市山林西
10:南园村东
11:亿利达大厦
12:新能源大厦
13:海雅百货
14:后海立交
15:滨海之窗
16:卓越后海中心
17:科苑地铁站
18:白石科苑路口
19:高新公寓
20:创维大厦
21:中科大厦
22:曙光大厦
23:科技园公交总站
","1:科技园公交总站
2:曙光大厦
3:中科大厦
4:创维大厦
5:高新公寓
6:高新公寓南
7:百度国际大厦
8:软件产业基地
9:后海立交
10:海雅百货
11:亿利达大厦
12:南园村东
13:城市山林西
14:南山党校
15:太子山庄
16:前海沿湖路口
17:青青世界
18:深大附中
19:南山花园
20:前海兴海路口
21:月亮湾花园
",深圳高峰专线10公交车路线,深圳高峰专线10公交车路线(科技园公交总站—月亮湾花园),高峰专线
运行时间：沙井街道办07:15 |南浦花园18:30,深圳市西部公共汽车有限公司,最后更新：2018-12-14,票价信息：冷巴2元,深圳高峰专线178公交车路线(沙井街道办—南浦花园),"1:沙井街道办
2:壆岗大厦
3:佳华天桥
4:上星村委
5:沙井中心客运北
6:黄埔酒店
7:黄埔村委
8:南浦花园
","1:南浦花园
2:黄埔村委
3:上南路口
4:黄埔酒店
5:新桥乐安居
6:上星村委
7:佳华天桥
8:壆岗大厦
9:沙井街道办
",深圳高峰专线178公交车路线,深圳高峰专线178公交车路线(南浦花园—沙井街道办),高峰专线
运行时间：下石家总站06:55 11:15 13:10 16:15 |马山头学校07:40 12:00 13:50 17:00,深圳市西部公共汽车有限公司,最后更新：2018-12-14,票价信息：冷巴2元,深圳高峰专线177公交车路线(下石家—马山头学校),"1:下石家总站
2:光明峰荟
3:锦鸿花园
4:中粮云景
5:马山头学校
","1:马山头学校
2:中粮云景
3:锦鸿花园
4:光明峰荟
5:下石家总站
",深圳高峰专线177公交车路线,深圳高峰专线177公交车路线(马山头学校—下石家),高峰专线
运行时间：下石家总站--下石家总站06:45 17:00,深圳市西部公共汽车有限公司,最后更新：2018-12-14,票价信息：冷巴2元,深圳高峰专线176公交车路线(下石家—下石家),"1:下石家总站
2:锦鸿花园
3:光明峰荟
4:光明实验学校
5:下石家总站
","1:下石家总站
2:光明实验学校
3:锦鸿花园
4:光明峰荟
5:下石家总站
",深圳高峰专线176公交车路线,深圳高峰专线176公交车路线(下石家—下石家),高峰专线
运行时间：观澜大富工业区06:30 07:00 |壹城中心第九区公交总站18:00 18:30,深圳市西部公共汽车有限公司,最后更新：2018-12-14,票价信息：冷巴2.5元,深圳高峰专线171公交车路线(观澜大富工业区—壹城中心第九区公交总站),"1:观澜大富工业区
2:星源宿舍
3:章阁市场
4:深雅五金塑料厂
5:塘前村
6:勋力公司
7:福城街道办
8:吉岭新村
9:深圳二外天桥
10:深圳第二外国语学校
11:大水坑社康中心
12:九龙山
13:河背工业区
14:三联村委
15:新城市花园
16:景乐市场
17:弓村
18:山咀头
19:华富市场
20:壹城中心第九区公交总站
","1:壹城中心第九区公交总站
2:电信大厦
3:华富市场
4:弓村
5:景乐市场
6:新城市花园
7:三联村委
8:河背工业区
9:龙澜茜坑天桥
10:九龙山
11:大水坑社康中心
12:深圳第二外国语学校
13:深圳二外天桥
14:吉岭新村
15:勋力公司
16:塘前村
17:深雅五金塑料厂
18:章阁市场
19:星源宿舍
20:观澜大富工业区
",深圳高峰专线171公交车路线,深圳高峰专线171公交车路线(壹城中心第九区公交总站—观澜大富工业区),高峰专线
