time,company,update_time,cost,first_name,first_line,second_line,name,second_name,bus_type
运行时间：白花广场东06:45 07:00 |光明外国语学校16:50 17:15 17:35,深圳市西部公共汽车有限公司,最后更新：2018-12-14,票价信息：冷巴2元,深圳高峰专线163公交车路线(白花广场东—光明外国语学校),"1:白花广场东
2:富民花园
3:富民广场
4:白花
5:展辰涂料
6:联大工业园
7:光明外国语学校
","1:光明外国语学校
2:联大工业园
3:展辰涂料
4:白花
5:富民广场
6:富民花园
7:白花广场东
",深圳高峰专线163公交车路线,深圳高峰专线163公交车路线(光明外国语学校—白花广场东),高峰专线
运行时间：传麒山07:15 11:40 13:40 16:30 17:05 |光明外国语学校07:30 12:00 14:00 16:50 17:20,深圳市西部公共汽车有限公司,最后更新：2018-12-14,票价信息：冷巴2元,深圳高峰专线162公交车路线(传麒山—光明外国语学校),"1:传麒山
2:光明外国语学校
","1:光明外国语学校
2:传麒山
",深圳高峰专线162公交车路线,深圳高峰专线162公交车路线(光明外国语学校—传麒山),高峰专线
运行时间：坪地汽车站--坪地汽车站07:30 18:00,深圳市东部公共交通有限公司,最后更新：2018-12-14,票价信息：冷巴2元,深圳高峰专线161公交车路线(坪地汽车站—坪地汽车站),"1:坪地汽车站
2:华业玫瑰郡
3:回龙埔
4:君悦龙庭
5:和兴花园
6:龙岗妇儿中心
7:龙城小学
8:清林小学
9:中央悦城
10:坪地街道办
11:坪地汽车站
",,深圳高峰专线161公交车路线,,高峰专线
运行时间：前海湾花园07:00-08:30 17:00-23:00 |前海湾地铁站07:00-08:30 17:00-23:00,深圳巴士集团股份有限公司,最后更新：2018-12-14,票价信息：冷巴2元,深圳高峰专线157公交车路线(前海湾花园—前海湾地铁站),"1:前海湾花园
2:十二号路
3:前海管理局西
4:企业公馆
5:周大福西
6:前海时代
7:卓越壹号
8:前海湾地铁站
","1:前海湾地铁站
2:卓越壹号
3:前海时代
4:周大福西
5:企业公馆
6:前海管理局西
7:十二号路
8:前海湾花园
",深圳高峰专线157公交车路线,深圳高峰专线157公交车路线(前海湾地铁站—前海湾花园),高峰专线
运行时间：前海湾花园07:00-08:30 17:00-23:00 |鲤鱼门地铁站07:00-08:30 17:00-23:00,深圳巴士集团股份有限公司,最后更新：2018-12-14,票价信息：冷巴2元,深圳高峰专线156公交车路线(前海湾花园—鲤鱼门地铁站),"1:前海湾花园
2:十二号路
3:前海管理局西
4:企业公馆
5:周大福西
6:前海时代
7:卓越壹号
8:鲤鱼门地铁站
","1:鲤鱼门地铁站
2:卓越壹号
3:前海时代
4:周大福西
5:企业公馆
6:前海管理局西
7:十二号路
8:前海湾花园
",深圳高峰专线156公交车路线,深圳高峰专线156公交车路线(鲤鱼门地铁站—前海湾花园),高峰专线
运行时间：泰华梧桐岛--泰华梧桐岛08:20-08:50 18:10-18:40,深圳市西部公共汽车有限公司,最后更新：2018-12-14,票价信息：冷巴2元,深圳高峰专线153公交车路线(泰华梧桐岛—泰华梧桐岛),"1:泰华梧桐岛
2:固戍地铁站
3:泰华梧桐岛
",,深圳高峰专线153公交车路线,,高峰专线
运行时间：洞背村06:55 12:30 17:45 19:30 |坝光新村07:30 13:05 18:25 20:10,深圳市东部公共交通有限公司,最后更新：2018-12-14,票价信息：冷巴2元,深圳高峰专线152公交车路线(洞背—坝光新村),"1:洞背村
2:溪涌市场
3:葵涌中学
4:葵涌中心
5:人大附中九年部
6:坝光新村
","1:坝光新村
2:人大附中九年部
3:葵涌中心
4:葵涌中学
5:溪涌市场
6:洞背村
",深圳高峰专线152公交车路线,深圳高峰专线152公交车路线(坝光新村—洞背),高峰专线
运行时间：高力特16:00-18:10 |深圳科学高中西16:35-17:15,深圳市东部公共交通有限公司,最后更新：2018-12-14,票价信息：冷巴2元,深圳高峰专线151公交车路线(高力特—深圳科学高中西),"1:高力特
2:深圳科学高中西
","1:深圳科学高中西
2:高力特
",深圳高峰专线151公交车路线,深圳高峰专线151公交车路线(深圳科学高中西—高力特),高峰专线
运行时间：易瑞生物07:45 08:00 |新安67区安顺达场站18:30,深圳市西部公共汽车有限公司,最后更新：2018-12-14,票价信息：冷巴2元,深圳高峰专线155公交车路线(易瑞生物—新安67区安顺达场站),"1:易瑞生物
2:留仙一路
3:新安67区安顺达场站
","1:新安67区安顺达场站
2:留仙一路
3:易瑞生物
",深圳高峰专线155公交车路线,深圳高峰专线155公交车路线(新安67区安顺达场站—易瑞生物),高峰专线
运行时间：阳光科创公交总站07:00 09:30 11:00 19:00 20:00 |中海锦城花园公交总站07:00 09:30 11:00 19:00 20:00,深圳巴士集团股份有限公司,最后更新：2018-12-14,票价信息：冷巴2.5元,深圳高峰专线150公交车路线(阳光科创公交总站—中海锦城花园公交总站),"1:阳光科创公交总站
2:南山村北
3:南园村东
4:城市山林西
5:南山党校
6:南山村西
7:鼎太风华
8:向南村
9:向南东村
10:荔园大厦
11:后海立交
12:软件产业基地
13:百度国际大厦
14:深港产学研基地
15:高科技中心
16:大冲
17:北环龙井天桥
18:高发科技园
19:塘朗山隧道路口
20:塘朗车辆段北
21:塘朗地铁站
22:南山智园
23:留仙学苑路口
24:长岭陂地铁站
25:龙华绿廊公园
","26:高级中学北校区
27:南源新村
28:水榭春天
29:人民路口
30:人民路口北
31:上芬小学
32:上芬小学新校区
33:中海锦城花园公交总站
",深圳高峰专线150公交车路线,深圳高峰专线150公交车路线(中海锦城花园公交总站—阳光科创公交总站),高峰专线
运行时间：松岗地铁站07:30 |劲嘉松岗工业园17:45,深圳市西部公共汽车有限公司,最后更新：2018-12-14,票价信息：冷巴2元,深圳高峰专线154公交车路线(松岗地铁—劲嘉松岗工业园),"1:松岗地铁站
2:劲嘉松岗工业园
","1:劲嘉松岗工业园
2:松岗地铁站
",深圳高峰专线154公交车路线,深圳高峰专线154公交车路线(劲嘉松岗工业园—松岗地铁),高峰专线
运行时间：清湖地铁站07:00 07:30 17:30-18:00 |深圳北站07:40 08:20 18:10 18:50,深圳市西湖运输有限公司,最后更新：2018-12-14,票价信息：冷巴2元,深圳高峰专线149公交车路线(清湖地铁站—深圳北站),"1:清湖地铁站
2:大润发
3:金侨花园
4:华侨苑
5:电信大厦
6:风和日丽北
7:金地梅陇镇
8:民兴路口
9:深圳北站交通枢纽公交场站
","1:深圳北站交通枢纽公交场站
2:樟坑
3:民兴路口
4:金地梅陇镇
5:风和日丽北
6:龙泉酒店
7:电信大厦
8:华侨苑
9:金侨花园
10:大润发
11:清湖地铁站
",深圳高峰专线149公交车路线,深圳高峰专线149公交车路线(深圳北站—清湖地铁站),高峰专线
运行时间：新和08:00 |大族基地18:15 20:40,深圳市西部公共汽车有限公司,最后更新：2018-12-14,票价信息：冷巴2元,深圳高峰专线148公交车路线(新和—大族基地),"1:新和天桥
2:大族基地
","1:大族基地
2:新和天桥(1)
",深圳高峰专线148公交车路线,深圳高峰专线148公交车路线(大族基地—新和),高峰专线
运行时间：公明马山头总站07:50 |田寮总站17:50,深圳市西部公共汽车有限公司,最后更新：2018-12-14,票价信息：冷巴2元,深圳高峰专线132公交车路线(公明马山头总站—田寮总站),"1:公明马山头总站
2:广雅花园
3:红花山公园
4:雍景城西
5:雍景城东
6:红花山体育中心
7:田寮市场管理科
8:田寮总站
","1:田寮总站
2:田寮市场管理科
3:红花山体育中心
4:雍景城东
5:雍景城西
6:红花山公园
7:广雅花园
8:公明马山头总站
",深圳高峰专线132公交车路线,深圳高峰专线132公交车路线(田寮总站—公明马山头总站),高峰专线
运行时间：宝龙清风总站-宝龙清风总站06:30-08:00 15:00-18:00,深圳市东部公共交通有限公司,最后更新：2018-12-14,票价信息：冷巴2元,深圳高峰专线136公交车路线(宝龙清风总站—宝龙清风总站),"1:宝龙清风总站
2:宝龙外国语学校
3:五洲龙
4:宝龙加油站
5:金地名峰
6:振业峦山谷
7:宝荷沙荷路口
8:比亚迪学校
9:五洲龙
10:宝龙外国语学校
11:宝龙清风总站
",,深圳高峰专线136公交车路线,,高峰专线
运行时间：石岩汽车站07:00 07:30 |有信厂18:10 20:30,深圳市西部公共汽车有限公司,最后更新：2018-12-14,票价信息：冷巴2元,深圳高峰专线144公交车路线(石岩汽车站—有信厂),"1:石岩汽车站
2:官田星城
3:崇基工业区
4:新时代工业区
5:石岩交警中队
6:石岩园岭村
7:田心工业
8:上排村口
9:石岩同富裕工业区
10:石岩执法大队
11:有信厂
","1:有信厂
2:石岩执法大队
3:石岩同富裕工业区
4:上排村口
5:田心工业
6:石岩园岭村
7:石岩交警中队
8:新时代工业区
9:崇基工业区
10:官田星城
11:石岩汽车站
",深圳高峰专线144公交车路线,深圳高峰专线144公交车路线(有信厂—石岩汽车站),高峰专线
运行时间：松岗地铁站07:30 |三诺厂18:00,深圳市西部公共汽车有限公司,最后更新：2018-12-14,票价信息：冷巴2元,深圳高峰专线142公交车路线(松岗地铁—三诺厂),"1:松岗地铁站
2:三诺厂
","1:三诺厂
2:松岗地铁站
",深圳高峰专线142公交车路线,深圳高峰专线142公交车路线(三诺厂—松岗地铁),高峰专线
运行时间：石岩公学西07:30 08:30 |石龙仔场站17:40 18:10,深圳市西部公共汽车有限公司,最后更新：2018-12-14,票价信息：冷巴1元,深圳高峰专线145公交车路线(石岩公学西—石龙仔场站),"1:石岩公学西
2:石岩南康百货
3:长城工业区
4:水田社区
5:捷家宝大门
6:捷家宝总站
7:惠科正门
8:惠科工业园
9:久裕厂
10:石龙仔场站
","1:石龙仔场站
2:久裕厂
3:惠科工业园
4:惠科正门
5:捷家宝总站
6:捷家宝大门
7:水田社区
8:长城工业区
9:石岩南康百货
10:石岩公学西
",深圳高峰专线145公交车路线,深圳高峰专线145公交车路线(石龙仔场站—石岩公学西),高峰专线
运行时间：深圳北动车运用所员工宿舍05:30 08:15 13:20 |深圳北站11:00 15:30 22:30,深圳市西部公共汽车有限公司,最后更新：2018-12-14,票价信息：冷巴2元,深圳高峰专线137公交车路线(深圳北动车运用所员工宿舍—深圳北站),"1:深圳北动车运用所员工宿舍
2:深圳北站交通枢纽公交场站
","1:深圳北站交通枢纽公交场站
2:深圳北动车运用所员工宿舍
",深圳高峰专线137公交车路线,深圳高峰专线137公交车路线(深圳北站—深圳北动车运用所员工宿舍),高峰专线
运行时间：强荣东总站06:50-08:00 |深圳湾口岸公交总站17:30-18:40,深圳巴士集团股份有限公司,最后更新：2018-12-14,票价信息：冷巴2元,深圳高峰专线138公交车路线(强荣东总站—深圳湾口岸),"1:强荣东总站
2:恒丰工业城
3:鹤洲桥底
4:宝安桃源居
5:西乡城管办
6:宝安客运中心
7:丽景城
8:富盈门
9:安华工业区
10:诺铂广场
11:公园路西一巷
12:宝安税务局
13:灵芝园新村
14:新安公园
15:教科培训中心
16:南山供电局
17:前进同安路口
18:研祥科技大厦
19:深大北门(1)
20:高科技中心
21:深港产学研基地
22:百度国际大厦
23:软件产业基地
24:学府中学
25:保利剧院
","26:后海滨登良路口
27:登良地铁站
28:后海滨路口
29:深圳湾口岸公交总站
",深圳高峰专线138公交车路线,深圳高峰专线138公交车路线(深圳湾口岸—强荣东总站),高峰专线
运行时间：西乡恒生医院07:30 07:45 |中兴通讯宿舍18:00 18:15,深圳市西部公共汽车有限公司,最后更新：2018-12-14,票价信息：冷巴2元,深圳高峰专线131公交车路线(西乡恒生医院—中兴通讯宿舍),"1:西乡恒生医院
2:恒生医院
3:碧海湾地铁站
4:泰华阳光海
5:碧海湾地铁站(1)
6:圣淘沙
7:西乡盐田大门
8:同仁妇科医院
9:西乡步行街
10:西乡径贝村
11:流塘旧村
12:安华工业区
13:诺铂广场
14:公园路西一巷
15:宝安税务局
16:灵芝园新村
17:新安公园
18:教科培训中心
19:南山供电局
20:南山农批市场
21:中山园
22:同乐学校
23:同乐村
24:TCL国际E城
25:第二高级中学
","26:中兴人才公寓
27:中兴通讯宿舍
",深圳高峰专线131公交车路线,深圳高峰专线131公交车路线(中兴通讯宿舍—西乡恒生医院),高峰专线
运行时间：罗田路公交总站07:20 07:50 |松坪山总站17:40 18:20,深圳巴士集团股份有限公司,最后更新：2018-12-14,票价信息：冷巴2.5元,深圳高峰专线122公交车路线(罗田路公交总站—松坪山总站),"1:罗田路公交总站
2:海韵学校南门
3:新安中学高中部北
4:宝安机关幼儿园
5:宝安体育馆
6:宝安赛格
7:金成名苑
8:西城上筑
9:甲岸路口
10:中商花园
11:宝安实验学校
12:星海名城
13:大新小学
14:大新地铁站
15:桃园南新路口
16:市六医院
17:南航公司
18:荔园大厦
19:后海立交
20:滨海之窗
21:卓越后海中心
22:科苑地铁站
23:深港产学研基地
24:高科技中心
25:深南科苑立交北
","26:科苑北
27:科苑北环立交
28:孙逸仙心血管医院
29:朗山路中
30:松坪山路口
31:松坪山总站
",深圳高峰专线122公交车路线,深圳高峰专线122公交车路线(松坪山总站—罗田路公交总站),高峰专线
运行时间：深大西丽宿舍楼07:00-18:40 |桂庙新村07:30-19:10,深圳巴士集团股份有限公司,最后更新：2018-12-14,票价信息：冷巴2元,深圳高峰专线128公交车路线(深大西丽宿舍楼—桂庙新村),"1:深大西丽宿舍楼
2:塘朗村口
3:丽水路南
4:大冲
5:科技园(2)
6:深大北门(2)
7:高科技中心
8:深港产学研基地
9:白石科苑路口
10:粤海门村
11:深大南区运动场
12:桂庙村口
13:桂庙站
14:桂庙新村
","1:桂庙新村
2:深圳大学
3:深大北门(2)
4:科技园(2)
5:大冲
6:塘朗山隧道路口
7:丽水路南
8:塘朗村口
9:深大西丽宿舍楼
",深圳高峰专线128公交车路线,深圳高峰专线128公交车路线(桂庙新村—深大西丽宿舍楼),高峰专线
运行时间：怡亚通07:00 09:30 10:30 11:30 13:00 15:00 16:00 17:00 19:30 20:30 |深圳东站（即时折返）,深圳市东部公共交通有限公司,最后更新：2018-12-14,票价信息：冷巴2元,深圳高峰专线124公交车路线(怡亚通—深圳东站东广场),"1:怡亚通
2:万国食品城总站
3:左右家私
4:李朗国际珠宝园
5:第三人民医院
6:联创科技园
7:布吉交警中队
8:尚峰花园
9:布澜路口
10:大芬地铁站(1)
11:木棉湾地铁站(1)
12:深圳东站东广场
","1:深圳东站东广场
2:木棉湾地铁站(1)
3:大芬地铁站(1)
4:布澜路口
5:尚峰花园
6:布吉交警中队
7:联创科技园
8:第三人民医院
9:李朗国际珠宝园
10:左右家私
11:万国食品城总站
12:怡亚通
",深圳高峰专线124公交车路线,深圳高峰专线124公交车路线(深圳东站东广场—怡亚通),高峰专线
运行时间：天安云谷07:00-08:20 17:50-20:30 |华为荔枝园07:20-08:50 18:05-20:45,深圳市东部公共交通有限公司,最后更新：2018-12-14,票价信息：冷巴2元,深圳高峰专线130公交车路线(天安云谷—华为荔枝园),"1:天安云谷
2:华为荔枝园
","1:华为荔枝园
2:天安云谷
",深圳高峰专线130公交车路线,深圳高峰专线130公交车路线(华为荔枝园—天安云谷),高峰专线
运行时间：华为基地07:00-08:30 17:50-20:50 |华为荔枝园07:20-08:50 18:10-21:10,深圳市西部公共汽车有限公司,最后更新：2018-12-14,票价信息：冷巴2元,深圳高峰专线129公交车路线(华为基地—华为荔枝园),"1:华为基地
2:华电
3:华为软件中心
4:华为荔枝园
","1:华为荔枝园
2:华为软件中心
3:华为基地
",深圳高峰专线129公交车路线,深圳高峰专线129公交车路线(华为荔枝园—华为基地),高峰专线
运行时间：光谷苑07:05 13:20 |长圳总站12:00 17:00,深圳市西部公共汽车有限公司,最后更新：2018-12-14,票价信息：冷巴2元,深圳高峰专线127公交车路线(光谷苑—长圳总站),"1:光谷苑
2:塘家治安亭
3:塘家村委
4:塘家第一工业区
5:长圳公园
6:长圳总站
","1:长圳总站
2:长圳公园
3:塘家第一工业区
4:塘家村委
5:塘家治安亭
6:光谷苑
",深圳高峰专线127公交车路线,深圳高峰专线127公交车路线(长圳总站—光谷苑),高峰专线
运行时间：万科第五园总站07:00 07:30 08:30 |听泉居总站17:30 18:00 19:00,深圳巴士集团股份有限公司,最后更新：2018-12-14,票价信息：冷巴3元,深圳高峰专线123公交车路线(万科五园公交总站—听泉居总站),"1:万科五园公交总站
2:光雅园路口
3:坂田石化新村
4:南坑村
5:星光之约(2)
6:星河WORLD
7:万家灯火
8:滢水山庄(2)
9:新彩隧道口
10:中级法院
11:关山月美术馆(1)
12:中心书城北
13:莲花山公园(1)
14:华强职校
15:特区报社(2)
16:深南香蜜立交
17:深航大厦
18:听泉居总站
","1:听泉居总站
2:深航大厦
3:深南香蜜立交
4:特区报社(2)
5:华强职校
6:莲花山公园
7:中心书城北
8:关山月美术馆(1)
9:中级法院
10:新彩隧道口
11:滢水山庄(2)
12:万家灯火
13:星河WORLD
14:星光之约(2)
15:家和花园
16:雅园路口
17:万科五园公交总站
",深圳高峰专线123公交车路线,深圳高峰专线123公交车路线(听泉居总站—万科五园公交总站),高峰专线
运行时间：深圳北站东广场07:20-08:30 |深圳湾口岸17:20-18:50,深圳巴士集团股份有限公司,最后更新：2018-12-14,票价信息：冷巴2元,深圳高峰专线120公交车路线(深圳北站东广场—深圳湾口岸),"1:深圳北站东广场
2:塘朗地铁站
3:塘朗车辆段北
4:塘朗山隧道路口
5:北环铜鼓天桥
6:清华信息港
7:科苑立交南
8:科苑北
9:深南科苑立交北
10:中兴通讯
11:高新公寓
12:科技南路
13:科苑南路口
14:深圳湾口岸公交总站
","1:深圳湾口岸公交总站
2:科苑南路口
3:科技南路
4:高新公寓
5:中兴通讯
6:深南科苑立交北
7:科苑北
8:清华信息港
9:北环铜鼓天桥
10:塘朗山隧道路口
11:塘朗车辆段北
12:塘朗地铁站
13:深圳北站交通枢纽公交场站
",深圳高峰专线120公交车路线,深圳高峰专线120公交车路线(深圳湾口岸—深圳北站),高峰专线
运行时间：民治民塘路总站07:10-08:20 |群星广场总站17:20-18:50,深圳巴士集团股份有限公司,最后更新：2018-12-14,票价信息：冷巴2元,深圳高峰专线119公交车路线(民治民塘路总站—群星广场总站),"1:民治民塘路总站
2:高级中学北校区
3:南贤广场
4:东泉新村
5:铁路桥
6:彩悦大厦
7:塘朗地铁站
8:塘朗车辆段北
9:塘朗山隧道路口
10:沙河建工村
11:华侨城医院
12:警校
13:竹子林(1)
14:深航大厦
15:招商银行大厦(1)
16:深南香蜜立交
17:特区报社(1)
18:投资大厦
19:岗厦北地铁站(1)
20:上海宾馆西
21:群星广场总站
","1:群星广场总站
2:华强路口
3:上海宾馆西
4:岗厦北地铁站(1)
5:广电大厦
6:特区报社(1)
7:深南香蜜立交
8:招商银行大厦(1)
9:深航大厦
10:竹子林(1)
11:警校
12:华侨城医院
13:沙河建工村
14:塘朗山隧道路口
15:塘朗车辆段北
16:塘朗地铁站
17:龙华绿廊公园
18:民治民塘路总站
",深圳高峰专线119公交车路线,深圳高峰专线119公交车路线(群星广场总站—民治民塘路总站),高峰专线
运行时间：红湖工业区07:05 07:15 |华强创意园首末站16:50 17:05,深圳市西部公共汽车有限公司,最后更新：2018-12-14,票价信息：冷巴2元,深圳高峰专线113公交车路线(红湖工业区—华强创意园首末站),"1:红湖工业区
2:光明书院
3:光明书院路口
4:新陂头市场
5:新陂头路口
6:圳美路口
7:石介头市场
8:同富裕工业园
9:中大附七换乘站
10:光晟厂
11:第二职业技术学校
12:新健兴科技工业园
13:光明办事处
14:光明供电所
15:碧眼社康
16:碧眼村口
17:光明中心医院
18:光明交通局
19:光明大道换乘站
20:光明区政府南
21:光明艺术中心
22:光明大第
23:光明会展中心
24:华强创意产业园
25:华强创意园首末站
","1:华强创意园首末站
2:华强创意产业园
3:光明会展中心
4:光明大第
5:光明艺术中心
6:光明区政府南
7:光明大道换乘站
8:光明交通局
9:美景花园
10:光明中心医院
11:碧眼村口
12:碧眼社康
13:光明供电所
14:光明办事处
15:新健兴科技工业园
16:第二职业技术学校
17:光晟厂
18:中大附七换乘站
19:同富裕工业园
20:石介头市场
21:圳美路口
22:新陂头路口
23:新陂头市场
24:光明书院路口
25:光明书院
",深圳高峰专线113公交车路线,深圳高峰专线113公交车路线(华强创意园首末站—红湖工业区),高峰专线
运行时间：石岩街道办07:00-07:30 |兴东地铁站17:50 18:20,深圳市西部公共汽车有限公司,最后更新：2018-12-14,票价信息：冷巴2元,深圳高峰专线107公交车路线(石岩街道办—兴东地铁站),"1:石岩街道办
2:河滨花园
3:石岩计生中心
4:石岩物流园
5:欧陆集团
6:宏发工业区
7:塘头社区
8:塘头又一村
9:塘头新村
10:一电科技(1)
11:创维天桥
12:笔架山石场
13:谷峰石材厂
14:宝安笔架山
15:牛城村
16:大兴果场
17:宝安国防基地
18:石围
19:宝石路口
20:金威啤酒厂
21:兴东地铁站
","1:兴东地铁站
2:金威啤酒厂
3:石围
4:宝安国防基地
5:大兴果场
6:牛城村
7:宝安笔架山
8:谷峰石材厂
9:笔架山石场
10:创维天桥
11:塘头新村
12:塘头又一村
13:塘头社区
14:宏发工业区
15:欧陆集团
16:石岩物流园
17:石岩计生中心
18:河滨花园
19:石岩街道办
",深圳高峰专线107公交车路线,深圳高峰专线107公交车路线(兴东地铁站—石岩街道办),高峰专线
运行时间：平湖任屋村总站07:00-08:00 |深圳书城18:10-19:10,深圳巴士集团股份有限公司,最后更新：2018-12-14,票价信息：冷巴5元,深圳高快巴士97公交车路线(平湖任屋村总站—深圳书城),"1:平湖任屋村总站
2:华南城
3:富民路口
4:平湖中心小学
5:平湖派出所
6:平湖广场西
7:平湖广场
8:平湖凤凰新村
9:御峰园
10:喜年仓库
11:水库新村(1)
12:留医部(2)
13:螺岭
14:罗湖区委
15:京鹏大厦
16:湖贝地铁站
17:门诊部(1)
18:深圳书城
","1:深圳书城
2:门诊部(1)
3:湖贝地铁站
4:京鹏大厦
5:罗湖区委
6:螺岭
7:留医部(2)
8:水库新村
9:水库
10:东湖宾馆
11:雁田收费站
12:喜年仓库
13:御峰园
14:平湖凤凰新村
15:平湖广场
16:平湖广场西
17:平湖派出所
18:平湖中心小学
19:富民路口
20:华南城
21:平湖任屋村总站
",深圳高快巴士97公交车路线,深圳高快巴士97公交车路线(深圳书城—平湖任屋村总站),高峰专线
运行时间：南澳新大总站07:50 16:40 |大鹏新区管委会08:45 17:40,深圳市东部公共交通有限公司,最后更新：2018-12-14,票价信息：冷巴2元,深圳高峰专线99公交车路线(新大总站—大鹏新区管委会),"1:新大总站
2:南澳街道办
3:南澳水产市场
4:水头沙
5:水头市场
6:同富工业区
7:布新社区
8:大鹏第一工业区
9:大鹏文化广场东
10:岭澳新村
11:葵涌中学
12:金葵小区
13:葵涌公园
14:葵涌办事处
15:葵涌奔康西
16:大鹏新区管委会(1)
","1:大鹏新区管委会(1)
2:葵涌奔康西
3:葵涌办事处
4:葵涌公园
5:金葵小区
6:葵涌中学
7:岭澳新村
8:大鹏文化广场东
9:大鹏第一工业区
10:布新社区
11:同富工业区
12:水头市场
13:水头沙
14:南澳水产市场
15:南澳街道办
16:新大总站
",深圳高峰专线99公交车路线,深圳高峰专线99公交车路线(大鹏新区管委会—新大总站),高峰专线
运行时间：石岩南康百货07:00 07:20 |科技生态园公交总站17:40 18:00,深圳市西部公共汽车有限公司,最后更新：2018-12-14,票价信息：冷巴2.5元,深圳高峰专线104公交车路线(石岩南康百货—科技生态园公交总站),"1:石岩南康百货
2:浪心村委
3:石岩计生中心
4:山城工业区
5:台湾工业区
6:一电科技
7:创维天桥
8:应人石路口
9:阳光工业区
10:南岗工业区
11:白芒村
12:荔枝世界
13:报恩福地
14:官龙村
15:深职院
16:九祥岭(2)
17:西丽法庭(1)
18:西丽社区(2)
19:茶光(2)
20:茶光(1)
21:松坪山
22:英伦名苑
23:中科大厦
24:创维大厦
25:中兴通讯
","26:白石科苑路口
27:高新公寓南
28:科技生态园公交总站
",深圳高峰专线104公交车路线,深圳高峰专线104公交车路线(科技生态园公交总站—石岩南康百货),高峰专线
运行时间：宝安客运中心06:30-21:30 |香山里花园公交总站06:50-22:15,深圳市西部公共汽车有限公司,最后更新：2018-12-14,票价信息：冷巴2元,深圳高峰专线102公交车路线(宝安客运中心—香山里花园公交总站),"1:宝安客运中心
2:丽景城
3:富盈门
4:安华工业区
5:诺铂广场
6:公园路西一巷
7:灵芝地铁站
8:宝安交通运输局(1)
9:深南北环立交(3)
10:北环科苑天桥
11:海能达大厦
12:科苑北
13:深南科苑立交北
14:高科技中心
15:深港产学研基地
16:高新公寓南
17:沙河信息园
18:沙河东路口
19:白石洲西
20:香山西街路口
21:香山里花园公交总站
","1:香山里花园公交总站
2:香山西街路口
3:白石洲西
4:沙河东路口
5:世纪村
6:沙河信息园
7:高新公寓南
8:深港产学研基地
9:高科技中心
10:深南科苑立交北
11:科苑北
12:海能达大厦
13:北环科苑天桥
14:深南北环立交(3)
15:宝安交通运输局
16:灵芝地铁站
17:公园路西一巷
18:诺铂广场
19:文汇中学
20:安华工业区
21:富盈门
22:宝安客运中心
",深圳高峰专线102公交车路线,深圳高峰专线102公交车路线(香山里花园公交总站—宝安客运中心),高峰专线
运行时间：金洲花园07:05 07:10 07:15 13:40 |淘金山小区12:20 16:30 16:40 17:00,深圳巴士集团股份有限公司,最后更新：2018-12-14,票价信息：冷巴2元,深圳高峰专线98公交车路线(金洲花园—淘金山小区),"1:金洲花园
2:淘金山小区
","1:淘金山小区
2:金洲花园
",深圳高峰专线98公交车路线,深圳高峰专线98公交车路线(淘金山小区—金洲花园),高峰专线
运行时间：平湖辅城坳总站06:10-19:30 |购物公园总站07:50-21:15,深圳市东部公共交通有限公司,最后更新：2018-12-14,票价信息：冷巴7元,深圳高快巴士95公交车路线(平湖辅城坳总站—购物公园地铁公交接驳站),"1:平湖辅城坳总站
2:融悦山居
3:平湖山厦村
4:山厦新村
5:天华路口
6:南园学校
7:平湖广场西
8:平湖派出所
9:平湖中心小学
10:富民路口
11:华南城交易中心
12:上木古村
13:体育馆东
14:体育馆(2)
15:海外装饰大厦(2)
16:上海宾馆西
17:田面
18:福华新村
19:岗厦地铁站
20:会展中心地铁站
21:卓越时代广场
22:购物公园地铁站
23:购物公园地铁公交接驳站
","1:购物公园地铁公交接驳站
2:购物公园地铁站
3:卓越时代广场
4:会展中心地铁站
5:岗厦地铁站
6:福华新村
7:田面
8:上海宾馆西
9:海外装饰大厦(2)
10:体育馆(2)
11:体育馆东
12:上木古村
13:华南城交易中心
14:华南城
15:富民路口
16:平湖中心小学
17:平湖派出所
18:平湖广场西
19:南园学校
20:天华路口
21:平湖山厦村
22:融悦山居
23:平湖辅城坳总站
",深圳高快巴士95公交车路线,深圳高快巴士95公交车路线(购物公园地铁公交接驳站—平湖辅城坳总站),高峰专线
运行时间：清湖产业园总站06:40-08:40 |科苑南公交总站17:30-19:30,深圳巴士集团股份有限公司,最后更新：2018-12-14,票价信息：冷巴3元,深圳高峰专线94公交车路线(清湖产业园总站—科苑南公交总站),"1:清湖产业园总站
2:清湖老村
3:龙华区办事大厅
4:清龙有轨电车站
5:景龙建设东路天桥
6:文化广场东
7:和丰大厦
8:共和斜岭
9:明珠商务大厦
10:风和日丽
11:民治二小
12:松仔园
13:人民路口
14:水榭春天
15:高级中学北校区
16:龙华绿廊公园
17:长岭陂地铁站
18:南山智园
19:塘朗地铁站
20:塘朗车辆段北
21:塘朗山隧道路口
22:红花岭
23:西丽劳力市场
24:西丽法庭(1)
25:西丽社区(1)
","26:茶光(2)
27:大冲
28:高科技中心
29:深港产学研基地
30:科苑地铁站
31:科苑南公交总站
",深圳高峰专线94公交车路线,深圳高峰专线94公交车路线(科苑南公交总站—清湖产业园总站),高峰专线
